id,name,meal_type,calories,protein_g,carbs_g,fat_g,diet_type,cost_per_serving,cuisine,prep_time_min,ingredients,preparation_steps
1,Classic Vegetable Upma,Breakfast,250,6,40,8,Veg,30,Indian,25,"1 cup semolina (rava), 1 tbsp oil, 1 tsp mustard seeds, 1 tsp urad dal, 1 chopped onion, 1/4 cup chopped carrot, 1/4 cup beans, 2 cups water, salt to taste, curry leaves","Heat oil in a pan. Add mustard seeds and let them splutter. Add urad dal and sauté until golden. Add chopped onions and cook until translucent. Add carrots and beans and sauté for 3 minutes. Add water and salt, bring to boil. Slowly add semolina while stirring continuously to avoid lumps. Cook until thick and soft. Cover and steam for 2 minutes before serving."
2,Masala Scrambled Eggs,Breakfast,300,18,5,22,Non-veg,40,Indian,15,"3 eggs, 1 tbsp butter, 1 chopped onion, 1 chopped green chili, 1/4 tsp turmeric, salt, pepper","Beat eggs in a bowl with salt and pepper. Heat butter in a pan. Add onions and green chili, sauté until soft. Add turmeric and stir. Pour beaten eggs and cook on low flame while stirring continuously until soft and fluffy."
3,Greek Yogurt Fruit Bowl,Breakfast,220,12,30,5,Veg,45,Greek,10,"1 cup Greek yogurt, 1/4 cup blueberries, 1/4 cup strawberries, 1 tbsp honey, 1 tbsp chia seeds",Add yogurt to bowl. Top with sliced fruits. Drizzle honey. Sprinkle chia seeds. Serve immediately.
4,Vegetable Fried Rice,Lunch,480,12,75,14,Veg,60,Chinese,30,"2 cups cooked rice, 1/2 cup mixed vegetables, 1 tbsp soy sauce, 1 tsp garlic paste, 1 tbsp oil, salt",Heat oil in wok. Add garlic paste and sauté. Add vegetables and cook for 5 minutes. Add rice and mix well. Add soy sauce and salt. Stir fry on high flame for 5 minutes.
5,Chicken Biryani,Lunch,650,35,80,20,Non-veg,120,Indian,60,"2 cups basmati rice, 500g chicken, 1 cup yogurt, 2 onions sliced, 1 tbsp ginger garlic paste, biryani spices, salt, oil",Marinate chicken with yogurt and spices for 30 minutes. Fry onions until golden. Cook chicken with marinade until tender. Parboil rice separately. Layer rice and chicken in pot. Cook on low heat for 20 minutes. Garnish with fried onions.
6,Paneer Butter Masala,Dinner,650,25,20,50,Veg,120,Indian,40,"250g paneer cubes, 2 tomatoes, 1 onion, 1 tbsp butter, 1/2 cup cream, spices",Sauté onion and tomatoes. Blend into smooth paste. Heat butter and add paste. Cook for 5 minutes. Add spices and cream. Add paneer cubes and simmer for 10 minutes.
7,Grilled Salmon,Dinner,480,40,5,30,Non-veg,150,Continental,25,"200g salmon fillet, 1 tbsp olive oil, salt, pepper, lemon juice","Rub salmon with olive oil, salt and pepper. Preheat grill to medium heat. Grill salmon 6–8 minutes each side. Drizzle lemon juice before serving."
8,Tofu Stir Fry,Dinner,400,22,30,20,Veg,80,Chinese,25,"200g tofu cubes, 1 cup broccoli, 1 tbsp soy sauce, 1 tsp garlic, 1 tbsp oil",Heat oil in pan. Add garlic and sauté. Add tofu cubes and cook until golden. Add broccoli and cook 5 minutes. Add soy sauce and stir.
9,Chicken Caesar Salad,Lunch,450,36,18,24,Non-veg,95,Italian,20,"150g grilled chicken, 2 cups lettuce, 2 tbsp Caesar dressing, croutons",Slice grilled chicken. Toss lettuce with dressing. Add chicken slices and top with croutons.
10,Quinoa Veg Bowl,Dinner,380,16,55,10,Veg,85,Mediterranean,25,"1 cup quinoa, 1/2 cup chickpeas, cucumber, olive oil",Cook quinoa as per instructions. Mix with chickpeas and vegetables. Drizzle olive oil.
11,Beef Tacos,Lunch,500,28,40,25,Non-veg,110,Mexican,30,"200g minced beef, taco shells, lettuce, tomato, spices",Cook beef with spices until browned. Fill taco shells with beef and toppings.
12,Vegetable Lasagna,Lunch,550,18,70,20,Veg,130,Italian,50,"Lasagna sheets, tomato sauce, mixed vegetables, cheese","Layer sheets, sauce and vegetables in baking dish. Top with cheese. Bake at 180°C for 30 minutes."
13,Chicken Curry,Dinner,550,38,20,35,Non-veg,100,Indian,45,"500g chicken, onion, tomato, ginger garlic paste, spices",Sauté onions. Add ginger garlic paste and tomatoes. Add spices and chicken. Cook until tender.
14,Oats Pancakes,Breakfast,320,10,55,8,Veg,35,American,20,"1 cup oats flour, 1 egg, 1/2 cup milk, honey",Mix ingredients into smooth batter. Pour onto heated pan. Cook both sides until golden.
15,Shrimp Stir Fry,Dinner,450,32,25,20,Non-veg,140,Chinese,25,"200g shrimp, vegetables, soy sauce, garlic","Heat oil, sauté garlic. Add shrimp and cook until pink. Add vegetables and soy sauce. Stir fry 5 minutes."
16,Vegetable Pulao,Lunch,520,12,80,15,Veg,60,Indian,35,"1 cup basmati rice, 1/2 cup mixed vegetables (carrot, beans, peas), 1 sliced onion, 1 tsp ginger-garlic paste, 1 tbsp oil, 2 cups water, salt, whole spices (bay leaf, cloves)",Heat oil in a pressure cooker. Add whole spices and sauté for 30 seconds. Add sliced onions and cook until golden. Add ginger-garlic paste and sauté. Add vegetables and cook for 3 minutes. Add washed rice and water. Add salt and mix well. Pressure cook for 2 whistles. Let steam release naturally. Fluff and serve.
17,Chicken Fried Rice Deluxe,Lunch,580,32,75,18,Non-veg,90,Chinese,30,"2 cups cooked rice, 200g chicken breast diced, 1 egg, 1/2 cup vegetables, 1 tbsp soy sauce, 1 tbsp oil, garlic","Heat oil in wok. Add garlic and sauté. Add diced chicken and cook until done. Push to side, scramble egg. Add vegetables and stir fry. Add rice and soy sauce. Toss everything together for 5 minutes on high heat."
18,Spaghetti Carbonara,Dinner,650,28,70,30,Non-veg,120,Italian,25,"200g spaghetti, 100g bacon, 2 eggs, 1/2 cup grated parmesan, black pepper, salt",Boil spaghetti in salted water. Fry bacon until crispy. Beat eggs with parmesan and pepper. Drain pasta and mix immediately with bacon. Remove from heat and quickly stir in egg mixture to create creamy sauce. Serve hot.
19,Vegetable Curry Coconut,Dinner,480,10,40,28,Veg,75,Thai,35,"1 cup mixed vegetables, 1 cup coconut milk, 1 tbsp curry paste, 1 tsp oil, salt",Heat oil in pan. Add curry paste and sauté for 1 minute. Add vegetables and cook 5 minutes. Pour coconut milk and simmer for 10 minutes. Add salt and serve.
20,Grilled Lemon Chicken,Dinner,520,42,6,32,Non-veg,110,Continental,30,"2 chicken breasts, 2 tbsp lemon juice, 1 tbsp olive oil, salt, pepper, garlic powder","Marinate chicken with lemon juice, oil, and spices for 20 minutes. Preheat grill. Grill chicken for 6–8 minutes each side until fully cooked. Rest 5 minutes before serving."
21,Stuffed Vegetable Omelette,Breakfast,340,18,15,24,Veg,45,French,15,"3 eggs, 1/4 cup spinach, 1/4 cup mushrooms, 1 tbsp butter, salt, pepper",Beat eggs with salt and pepper. Heat butter in pan. Add vegetables and sauté. Pour eggs over vegetables. Cook on low heat until set. Fold and serve.
22,Blueberry Pancakes,Breakfast,380,10,65,12,Veg,55,American,20,"1 cup flour, 1 egg, 1 cup milk, 1/2 cup blueberries, 1 tsp baking powder","Mix flour, baking powder, egg, and milk to form batter. Fold in blueberries. Pour ladle onto heated pan. Cook both sides until golden."
23,Avocado Egg Sandwich,Breakfast,420,20,35,22,Non-veg,65,American,10,"2 slices whole wheat bread, 1 boiled egg, 1/2 avocado, salt, pepper",Mash avocado with salt and pepper. Slice boiled egg. Spread avocado on bread and add egg slices. Close sandwich and serve.
24,Mediterranean Chickpea Salad,Lunch,390,16,50,12,Veg,60,Mediterranean,15,"1 cup boiled chickpeas, cucumber, tomato, 1 tbsp olive oil, lemon juice, salt","Mix chickpeas with chopped vegetables. Add olive oil, lemon juice, and salt. Toss well and chill before serving."
25,Chicken Alfredo Pasta,Dinner,720,45,75,30,Non-veg,140,Italian,40,"200g pasta, 200g chicken, 1 cup cream, 1/2 cup parmesan, garlic, butter",Cook pasta. Sauté chicken in butter. Add garlic and cream. Simmer 5 minutes. Add parmesan. Mix pasta into sauce and cook 2 minutes.
26,Vegetable Quesadilla,Lunch,520,18,60,22,Veg,85,Mexican,20,"2 tortillas, 1/2 cup cheese, bell peppers, onion, 1 tsp oil",Heat oil in pan. Sauté vegetables. Place vegetables and cheese between tortillas. Cook on both sides until golden.
27,Thai Green Curry Chicken,Dinner,600,38,25,40,Non-veg,130,Thai,40,"300g chicken, 1 cup coconut milk, green curry paste, vegetables",Sauté curry paste in oil. Add chicken and cook 5 minutes. Add coconut milk and vegetables. Simmer 15 minutes.
28,Spinach Mushroom Pasta,Lunch,500,14,75,16,Veg,75,Italian,30,"200g pasta, 1 cup spinach, 1/2 cup mushrooms, 1 tbsp olive oil, garlic",Cook pasta. Sauté garlic and mushrooms in oil. Add spinach and cook until wilted. Mix with pasta.
29,Beef Burrito Bowl,Lunch,680,40,85,28,Non-veg,130,Mexican,35,"200g beef, 1 cup rice, beans, salsa, cheese","Cook beef with spices. Assemble bowl with rice, beef, beans, salsa, and cheese."
30,Banana Nut Oatmeal,Breakfast,310,9,55,8,Veg,35,American,12,"1 cup oats, 1 banana, 1 tbsp chopped nuts, 1 cup milk",Boil milk and oats. Add sliced banana and nuts. Cook until thick.
31,Chicken Shawarma Wrap,Lunch,560,35,45,22,Non-veg,110,Middle Eastern,35,"250g boneless chicken strips, 2 tbsp yogurt, 1 tsp paprika, 1 tsp cumin, 2 pita breads, lettuce, sliced onions, garlic sauce","Marinate chicken with yogurt and spices for 30 minutes. Heat a pan and cook chicken until browned and fully cooked. Warm pita bread. Add lettuce, onions, cooked chicken, and drizzle garlic sauce. Wrap tightly and serve."
32,Vegetable Hakka Noodles,Lunch,540,14,85,15,Veg,70,Chinese,25,"200g noodles, 1 cup shredded cabbage, 1 carrot julienned, 1 tbsp soy sauce, 1 tsp vinegar, 1 tbsp oil","Boil noodles until al dente and drain. Heat oil in wok. Add vegetables and stir fry 3–4 minutes. Add noodles, soy sauce, vinegar, and toss on high heat for 5 minutes."
33,Grilled Turkey Sandwich,Lunch,480,32,40,18,Non-veg,95,American,15,"2 slices whole wheat bread, 120g turkey slices, lettuce, tomato, 1 tbsp mustard","Toast bread lightly. Layer turkey, lettuce, tomato. Spread mustard. Close sandwich and cut in half."
34,Vegetable Manchurian,Dinner,520,12,60,24,Veg,85,Chinese,40,"1 cup grated cabbage, 1/2 cup carrot, 2 tbsp flour, 1 tbsp soy sauce, garlic, oil","Mix vegetables with flour and form small balls. Deep fry until golden. In another pan, sauté garlic, add soy sauce and water. Add fried balls and cook 5 minutes."
35,Chicken Tandoori,Dinner,620,45,8,38,Non-veg,140,Indian,50,"500g chicken pieces, 1 cup yogurt, 1 tbsp ginger-garlic paste, 1 tsp garam masala, salt",Marinate chicken in yogurt and spices for 2 hours. Preheat oven to 200°C. Bake for 25–30 minutes until fully cooked.
36,Spinach Feta Omelette,Breakfast,330,20,8,25,Veg,50,Greek,12,"3 eggs, 1/4 cup spinach, 30g feta cheese, salt, pepper","Beat eggs with salt and pepper. Heat pan, sauté spinach briefly. Pour eggs and cook until almost set. Add feta and fold omelette."
37,Chocolate Peanut Butter Smoothie,Breakfast,420,18,45,20,Veg,60,American,8,"1 banana, 1 tbsp peanut butter, 1 tbsp cocoa powder, 1 cup milk",Blend all ingredients until smooth and creamy. Serve chilled.
38,Egg Bhurji,Breakfast,300,19,6,22,Non-veg,35,Indian,15,"3 eggs, 1 chopped onion, 1 chopped tomato, 1 tsp turmeric, 1 tbsp oil","Heat oil, sauté onion and tomato. Add turmeric and salt. Pour beaten eggs and cook while stirring until scrambled."
39,Stuffed Paratha,Breakfast,450,12,65,18,Veg,40,Indian,30,"2 cups wheat flour, 1 cup mashed potato, spices, oil","Prepare dough with flour and water. Mix mashed potato with spices. Roll dough, stuff filling, flatten and cook on hot pan with oil."
40,French Crepes,Breakfast,360,9,55,10,Veg,55,French,20,"1 cup flour, 2 eggs, 1 cup milk, 1 tbsp butter",Whisk ingredients into smooth batter. Heat pan lightly greased. Pour thin layer and cook both sides.
41,Grilled Veggie Panini,Lunch,520,16,60,20,Veg,75,Italian,20,"2 slices ciabatta bread, grilled zucchini, bell peppers, cheese",Layer grilled vegetables and cheese in bread. Press in panini maker until crisp.
42,Chicken Fajitas,Lunch,600,38,55,22,Non-veg,120,Mexican,30,"250g chicken strips, bell peppers, onion, fajita seasoning, tortillas",Cook chicken with seasoning. Add sliced vegetables and sauté. Serve in warm tortillas.
43,Vegetable Thai Basil Rice,Lunch,540,12,85,14,Veg,80,Thai,25,"2 cups cooked rice, basil leaves, chili, soy sauce, mixed vegetables","Heat oil, sauté chili and vegetables. Add rice and soy sauce. Toss well. Stir in basil leaves at end."
44,Beef Stroganoff,Dinner,700,42,50,38,Non-veg,160,Russian,45,"300g beef strips, mushrooms, cream, onion, butter",Sauté onion and mushrooms in butter. Add beef and cook until browned. Stir in cream and simmer 10 minutes.
45,Vegetable Shepherd's Pie,Dinner,580,18,75,22,Veg,95,British,50,"2 cups mixed vegetables, 2 cups mashed potatoes, vegetable gravy",Cook vegetables in gravy. Transfer to baking dish. Spread mashed potatoes on top. Bake at 180°C for 25 minutes.
46,Chicken Enchiladas,Dinner,680,40,65,30,Non-veg,140,Mexican,45,"2 cups shredded chicken, 6 tortillas, 1 cup enchilada sauce, 1 cup shredded cheese, 1/2 cup onion",Preheat oven to 180°C. Fill tortillas with chicken and onion. Roll and place in baking dish. Pour enchilada sauce over top and sprinkle cheese. Bake for 20–25 minutes until bubbly.
47,Vegetable Pad Thai (Classic),Lunch,560,14,90,16,Veg,95,Thai,30,"200g rice noodles, 1 cup bean sprouts, 1/2 cup carrots, 1 tbsp soy sauce, 1 tbsp tamarind paste, 1 tbsp oil","Soak noodles in warm water until soft. Heat oil in wok. Add vegetables and stir fry. Add noodles, soy sauce, and tamarind paste. Toss well for 5 minutes."
48,Grilled Chicken Caesar Wrap,Lunch,520,36,40,20,Non-veg,110,Italian,20,"1 grilled chicken breast, 1 tortilla, 1 cup lettuce, 2 tbsp Caesar dressing",Slice grilled chicken. Toss lettuce with dressing. Place in tortilla with chicken and roll tightly.
49,Vegetable Bibimbap,Dinner,600,18,95,14,Veg,100,Korean,35,"1 cup rice, assorted sautéed vegetables, 1 fried egg, 1 tbsp gochujang",Cook rice and arrange in bowl. Top with vegetables and fried egg. Add gochujang sauce and mix before eating.
50,Beef Meatballs,Dinner,720,48,35,45,Non-veg,150,Italian,50,"500g ground beef, 1 egg, breadcrumbs, garlic, tomato sauce","Mix beef with egg, breadcrumbs, and garlic. Form balls and bake at 200°C for 20 minutes. Simmer in tomato sauce for 15 minutes."
51,Spinach Ricotta Stuffed Shells,Dinner,650,25,80,22,Veg,120,Italian,50,"Pasta shells, 1 cup ricotta, 1 cup spinach, tomato sauce, cheese",Boil pasta shells. Mix ricotta and spinach. Stuff shells and place in baking dish. Pour tomato sauce and sprinkle cheese. Bake 25 minutes.
52,Chicken Teriyaki,Lunch,580,38,60,18,Non-veg,130,Japanese,30,"250g chicken thighs, 3 tbsp teriyaki sauce, 1 tsp sesame oil",Cook chicken in sesame oil until browned. Add teriyaki sauce and simmer 10 minutes. Serve with rice.
53,Vegetable Couscous,Lunch,480,12,75,14,Veg,75,Moroccan,25,"1 cup couscous, 1 cup mixed vegetables, 1 tbsp olive oil",Prepare couscous as per instructions. Sauté vegetables in olive oil. Mix together and season.
54,BBQ Pulled Chicken Sandwich,Lunch,650,40,70,25,Non-veg,130,American,45,"300g chicken breast, BBQ sauce, 2 burger buns",Cook chicken until tender. Shred and mix with BBQ sauce. Fill into buns and serve.
55,Vegetable Gnocchi,Dinner,620,18,85,20,Veg,110,Italian,40,"500g gnocchi, tomato sauce, mixed vegetables, parmesan","Boil gnocchi until floating. Sauté vegetables, add sauce, mix gnocchi. Sprinkle parmesan."
56,Chicken Pot Pie,Dinner,720,42,60,38,Non-veg,160,American,60,"2 cups cooked chicken, mixed vegetables, pie crust, cream sauce",Preheat oven 190°C. Mix chicken and vegetables in cream sauce. Pour into pie crust. Cover with top crust and bake 35 minutes.
57,Vegetable Spring Rolls,Lunch,450,10,65,16,Veg,70,Chinese,35,"Spring roll wrappers, cabbage, carrot, soy sauce",Fill wrappers with sautéed vegetables. Roll tightly and deep fry until golden.
58,Grilled Lamb Chops,Dinner,780,55,5,65,Non-veg,200,Continental,35,"4 lamb chops, rosemary, olive oil, salt",Rub lamb with oil and rosemary. Grill each side 5–6 minutes for medium.
59,Vegetable Frittata,Breakfast,420,22,15,30,Veg,65,Italian,20,"4 eggs, 1 cup mixed vegetables, 1/2 cup cheese",Beat eggs and mix vegetables. Pour into greased pan. Cook on stove 5 minutes then bake 10 minutes.
60,Peanut Butter Banana Toast,Breakfast,350,12,45,15,Veg,40,American,5,"2 slices bread, 2 tbsp peanut butter, 1 banana",Toast bread. Spread peanut butter. Top with banana slices and serve.
61,Chicken Korma,Dinner,700,42,20,50,Non-veg,150,Indian,50,"500g chicken pieces, 1 cup yogurt, 1/2 cup cream, 1 sliced onion, 1 tbsp ginger-garlic paste, 1 tsp garam masala, 2 tbsp oil","Heat oil in pan and sauté sliced onions until golden. Add ginger-garlic paste and cook 1 minute. Add chicken and cook until lightly browned. Add yogurt, cream, and spices. Cover and simmer on low heat for 25–30 minutes until chicken is tender."
62,Vegetable Paella,Dinner,620,16,95,18,Veg,120,Spanish,45,"1 cup short-grain rice, 1 cup mixed vegetables, 2 cups vegetable broth, 1 tsp paprika, 1 tbsp olive oil",Heat olive oil in wide pan. Add vegetables and sauté. Add rice and stir for 2 minutes. Add broth and paprika. Cook uncovered until rice absorbs liquid. Let rest 5 minutes before serving.
63,Beef Chili Con Carne,Dinner,750,48,55,40,Non-veg,160,Mexican,60,"500g ground beef, 1 cup kidney beans, 1 chopped onion, 2 tomatoes, 1 tbsp chili powder, 1 tbsp oil","Heat oil and sauté onion. Add beef and cook until browned. Add tomatoes, beans, and chili powder. Simmer on low heat for 30–40 minutes until thick."
64,Vegetable Ratatouille,Dinner,480,10,40,30,Veg,90,French,50,"1 zucchini, 1 eggplant, 1 bell pepper, 2 tomatoes, 2 tbsp olive oil, herbs",Slice vegetables evenly. Layer in baking dish. Drizzle olive oil and sprinkle herbs. Bake at 180°C for 35–40 minutes.
65,Chicken Fried Noodles,Lunch,600,34,85,18,Non-veg,100,Chinese,30,"200g noodles, 200g chicken strips, 1 cup vegetables, 1 tbsp soy sauce, 1 tbsp oil",Boil noodles until tender. Heat oil and cook chicken until done. Add vegetables and sauté. Add noodles and soy sauce. Toss for 5 minutes.
66,Vegetable Burrito,Lunch,580,18,90,16,Veg,85,Mexican,25,"1 cup cooked rice, 1/2 cup black beans, salsa, tortilla, 1/4 cup cheese","Warm tortilla. Place rice, beans, salsa, and cheese in center. Fold sides and roll tightly."
67,Grilled Fish Tacos,Lunch,520,36,55,18,Non-veg,120,Mexican,30,"200g white fish fillet, taco shells, cabbage slaw, lime juice",Season fish and grill 5–6 minutes each side. Fill taco shells with fish and cabbage. Drizzle lime juice.
68,Vegetable Moussaka,Dinner,650,20,70,35,Veg,130,Greek,60,"Eggplant slices, tomato sauce, béchamel sauce, olive oil",Fry eggplant slices lightly. Layer eggplant and tomato sauce in baking dish. Top with béchamel. Bake at 180°C for 40 minutes.
69,Chicken Fried Steak,Dinner,800,55,60,50,Non-veg,170,American,45,"2 beef steaks, flour, egg, breadcrumbs, oil","Coat steak in flour, dip in beaten egg, then breadcrumbs. Deep fry until golden brown."
70,Vegetable Lentil Stew,Dinner,420,18,60,8,Veg,55,Mediterranean,35,"1 cup lentils, carrot, celery, onion, 3 cups vegetable broth",Sauté onion and celery. Add lentils and broth. Simmer for 30 minutes until lentils are soft.
71,Classic Pancakes,Breakfast,360,10,60,12,Veg,45,American,20,"1 cup flour, 1 egg, 1 cup milk, 1 tsp baking powder",Mix dry and wet ingredients separately then combine. Pour batter on hot pan and cook both sides until golden.
72,Egg and Spinach Breakfast Wrap,Breakfast,420,22,35,20,Non-veg,55,American,15,"2 eggs, 1 tortilla, 1/2 cup spinach, 1 tbsp butter",Scramble eggs in butter. Add spinach and cook until wilted. Place in tortilla and wrap tightly.
73,Vegetable Uttapam,Breakfast,350,9,60,8,Veg,40,Indian,20,"1 cup dosa batter, chopped onion, tomato, green chili",Pour batter on hot pan. Sprinkle vegetables on top. Cook both sides until golden.
74,Smoked Salmon Bagel,Breakfast,500,28,45,24,Non-veg,120,American,10,"1 bagel, 80g smoked salmon, cream cheese, capers",Slice and toast bagel. Spread cream cheese. Add salmon and capers.
75,Peanut Butter Smoothie Bowl,Breakfast,450,18,55,18,Veg,65,American,8,"1 banana, 2 tbsp peanut butter, 1 cup milk, granola","Blend banana, peanut butter, and milk. Pour into bowl and top with granola."
76,Chicken Alfredo Lasagna,Dinner,820,52,75,45,Non-veg,180,Italian,70,"Lasagna sheets, 2 cups cooked chicken, 2 cups Alfredo sauce, 1 cup mozzarella, 1/2 cup parmesan",Preheat oven to 180°C. Layer lasagna sheets with chicken and Alfredo sauce. Repeat layers. Top with mozzarella and parmesan. Bake 40–45 minutes until golden.
77,Vegetable Szechuan Rice,Lunch,560,14,90,16,Veg,85,Chinese,30,"2 cups cooked rice, 1 cup mixed vegetables, 1 tbsp Szechuan sauce, 1 tbsp oil",Heat oil in wok. Add vegetables and sauté 4 minutes. Add rice and Szechuan sauce. Stir fry on high heat for 5 minutes.
78,Beef Gyros,Lunch,680,45,55,35,Non-veg,150,Greek,35,"300g beef strips, pita bread, yogurt sauce, tomato, onion",Cook seasoned beef in skillet until browned. Warm pita bread. Fill with beef and toppings. Drizzle yogurt sauce.
79,Vegetable Sushi Rolls,Lunch,450,10,85,6,Veg,120,Japanese,45,"2 cups sushi rice, nori sheets, cucumber, carrot, avocado",Cook sushi rice and let cool. Spread rice on nori sheet. Add vegetables. Roll tightly and slice with sharp knife.
80,Chicken Marsala,Dinner,720,48,25,45,Non-veg,170,Italian,40,"2 chicken breasts, 1 cup mushrooms, 1/2 cup Marsala wine, 1 tbsp butter",Cook chicken in butter until golden. Remove and sauté mushrooms. Add Marsala wine and simmer 5 minutes. Return chicken and cook until tender.
81,Vegetable Falafel Plate,Lunch,520,20,70,18,Veg,95,Middle Eastern,40,"1 cup chickpeas, garlic, parsley, spices, pita bread",Blend chickpeas with garlic and parsley. Form balls and fry until golden. Serve with pita and salad.
82,BBQ Beef Ribs,Dinner,900,60,30,65,Non-veg,220,American,90,"1kg beef ribs, BBQ sauce, salt, pepper",Season ribs with salt and pepper. Bake at 180°C for 1 hour. Brush with BBQ sauce and bake another 20 minutes.
